업체명	배출량	주소	시	군구	위도	경도
와이엠티주식회사	3	인천광역시 남동구 고잔동 670-10남동공단2단지91블럭11롯트 인천광역시 남동구 남동동로 153번길 30 고잔동 공단91-11	인천광역시	남동구	126.6981798	37.3993603
와이피티(주)	337	경기도 안산시 단원구 신원로 147	경기도	안산시 단원구	126.7537281	37.3140892
용산미쓰이화학	1341	울산광역시 남구 사평로 32	울산광역시	남구	129.3276814	35.4903296
용산화학	221	울산광역시 남구 사평로 32	울산광역시	남구	129.3276814	35.4903296
우리조명(주)	6	경기도 안산시 단원구 성곡로 79	경기도	안산시 단원구	126.7551425	37.3165023
우진산업(주)	77	전라북도 군산시 자유로 233-109	전라북도	군산시	126.5802451	35.9583733
우창실업(주)	42	충청남도 서산시 지곡면 빗돌머리길 2-24	충청남도	서산시 지곡면	126.4458	36.90664
욱성화학주식회사	0	부산광역시 금정구 개좌로 174	부산광역시	금정구	129.119188	35.226026
울산아로마틱스(주)	2113	울산광역시 남구 신여천로 2	울산광역시	남구	129.35335	35.507208
원강금속(주)	0	충청남도 홍성군 갈산면 내포로 1607-56	충청남도	홍성군 갈산면	126.5397804	36.6314011
