주소	학교급	학교명	경도	위도	시도	행정구				
강원도 동해시 해맞이길 183 (묵호진동.창호초등학교)	초등학교	창호초등학교	129.1077659	37.5586429	강원도	동해시				
강원도 동해시 동굴로 33 강원도 동해시 동굴로 33	초등학교	천곡초등학교	129.1078953	37.5178016	강원도	동해시				
강원도 동해시 동굴로 33 (천곡동)	유치원	천곡초등학교병설유치원	129.1078953	37.5178016	강원도	동해시				
강원도 동해시 청운로 60 . 청운초등학교 (쇄운동.청운초등학교)	초등학교	청운초등학교	129.1041095	37.484983	강원도	동해시				
강원도 동해시 청운로 60 (쇄운동)	유치원	청운초등학교병설유치원	129.1041095	37.484983	강원도	동해시				
강원도 동해시 관사길 11 (발한동)	유치원	해오름유치원	129.1051545	37.5499176	강원도	동해시				
강원도 삼척시 가곡면 가곡천로 1427 (가곡면)	고등학교	가곡고등학교	129.2053783	37.145683	강원도	삼척시				
강원도 삼척시 가곡면 가곡천로 1427 (가곡면)	중학교	가곡중학교	129.2053783	37.145683	강원도	삼척시				
강원도 삼척시 척주로 58 . 가야유치원 (남양동)	유치원	가야유치원	129.1703991	37.4440759	강원도	삼척시				
강원도 삼척시 근덕면 삼척로 3700 . 근덕중학교 (근덕면)	중학교	근덕중학교	129.2243726	37.3851256	강원도	삼척시				
강원도 삼척시 근덕면 삼척로 3653 . 근덕초등학교 (근덕면)	초등학교	근덕초등학교	129.2245602	37.380701	강원도	삼척시				
강원도 삼척시 근덕면 궁촌길 66 . 궁촌분교 (근덕면)	초등학교	근덕초등학교궁촌분교장	129.2637708	37.3201747	강원도	삼척시				
강원도 삼척시 근덕면 궁촌길 66 . 궁촌병설유치원 (근덕면)	유치원	근덕초등학교궁촌분교장병설유치원	129.2637708	37.3201747	강원도	삼척시				
강원도 삼척시 노곡면 노곡로 13-27 . 노곡분교 (노곡면)	초등학교	근덕초등학교노곡분교장	129.1637171	37.3475278	강원도	삼척시				
강원도 삼척시 근덕면 방재로 16 . 동막분교 (근덕면)	초등학교	근덕초등학교동막분교장	129.2433972	37.3388635	강원도	삼척시				
강원도 삼척시 노곡면 문의재로 2522 . 마읍분교 (노곡면)	초등학교	근덕초등학교마읍분교장	129.1783431	37.2697549	강원도	삼척시				
강원도 삼척시 도계읍 강원남부로 1348-20 (도계읍)	유치원	꿈나라유치원	129.0418049	37.2255703	강원도	삼척시				
강원도 삼척시 정상로 91-55 (교동)	유치원	노란유치원	129.1737162	37.4502162	강원도	삼척시				
강원도 삼척시 정상로 19 . 다솔유치원 (정상동)	유치원	다솔유치원	129.1759769	37.4437309	강원도	삼척시				
강원도 삼척시 도계읍 도계느티로 69 (도계읍)	고등학교	도계고등학교	129.053179	37.2301452	강원도	삼척시				
강원도 삼척시 도계읍 도계느티로 36 . 도계여자중학교 (도계읍.도계여자중학교)	중학교	도계여자중학교	129.049519	37.2310409	강원도	삼척시				
강원도 삼척시 도계읍 도계느티로 24 . 도계전산정보고등학교 (도계읍)	고등학교	도계전산정보고등학교	129.0481139	37.2317842	강원도	삼척시				
강원도 삼척시 도계읍 도계느티로 15 . 도계중학교 (도계읍)	중학교	도계중학교	129.0489422	37.2329329	강원도	삼척시				
강원도 삼척시 도계읍 도계로 265 (도계읍.도계초등학교)	초등학교	도계초등학교	129.0442068	37.2322191	강원도	삼척시				
강원도 삼척시 도계읍 도계로 265 . 도계한빛유치원 (도계읍)	유치원	도계한빛유치원	129.0442068	37.2322191	강원도	삼척시				
강원도 삼척시 근덕면 삼척로 3884-4 . 맹방초등학교 (근덕면)	초등학교	맹방초등학교	129.213562	37.398774	강원도	삼척시				
